"country_name" "ln_urb" "ln_events" "ln_fert" "hdi" "ln_pop" "ln_death_risk" "death_risk"
"94" "Niger" 2.766319 2.639057 2.047693 0.334999915297629 5.353752 -0.728779299147945 0.482497616
"95" "Nigeria" 3.785704 3.465736 1.848455 0.450999972705237 7.730995 -1.12569700132489 0.324426263
"96" "Norway" 4.328978 2.079442 0.6931472 0.952999976487522 4.391977 -4.39197701592705 0.012376237
"97" "Oman" 4.178482 1.098612 1.695616 0.777500027157102 3.680511 1.0468770001243 2.848740595
"98" "Pakistan" 3.51055 4.025352 1.667707 0.523999997202414 7.842462 1.12847800011888 3.090948495
"99" "Panama" 4.207177 2.890372 1.335001 0.793499951608938 3.962716 0.241976499996556 1.273764259
"100" "Papua New Guinea" 2.576422 2.397895 1.648659 0.531000030660046 4.596466 1.04898100010271 2.854740655
"101" "Paraguay" 4.011868 2.484907 1.492904 0.745999984168669 4.562958 0.155540500150836 1.168289251
"102" "Peru" 4.259152 3.367296 1.470176 0.7550000224485 6.111615 0.812013499919275 2.252438709
"103" "Philippines" 4.063599 5.153292 1.558145 0.7550000224485 7.230418 2.5092549998748 12.2957663
"104" "Poland" 4.110327 2.772589 0.5877866 0.846000016392023 6.512637 -1.6684490020066 0.188539263
"105" "Portugal" 4.00369 2.397895 0.7419373 0.891000045896594 5.216746 -1.26550199847793 0.282097648
"106" "Romania" 3.948997 3.828641 0.6678293 0.792499978785331 5.95963 0.124869500139292 1.133000587
"107" "Russia" 4.276435 4.189655 0.5007753 0.786499965774513 7.847502 -1.22211000002353 0.294607888
"108" "Rwanda" 2.818398 2.302585 1.967112 0.391000007427738 5.007965 -0.298434800379396 0.741978657
"109" "Samoa" 3.09859 1.609438 1.619388 0.762500053756687 1.280934 2.15305300005528 8.61110802
"110" "Saudi Arabia" 4.346615 1.791759 1.713798 0.77999996825283 5.914763 -1.31964400023646 0.267230419
"111" "Senegal" 3.695938 2.484907 1.808289 0.474000027154067 5.247375 0.203663500368684 1.225885574
"112" "Sierra Leone" 3.623007 1.609438 1.871802 0.336000039990364 4.521229 -0.51389549934925 0.598160899
"113" "Slovakia" 3.999118 2.302585 0.6151857 0.862999989556586 4.552473 -0.425338000432873 0.653548848
"114" "South Africa" 4.050625 3.610918 1.423108 0.709499987500057 6.669752 -0.455143799826312 0.634356741
"115" "Spain" 4.324353 3.135494 0.7419373 0.93149998969807 6.627424 -1.80714200207038 0.164122529
"116" "Sri Lanka" 2.762117 3.433987 1.115142 0.731999974395245 5.786283 0.329608400011778 1.390423532
"117" "St Lucia" 3.303217 1.609438 1.373716 0.795000051140607 1.18377 1.9517239999671 7.040815489
"118" "St Vincent and The Grenadines" 3.755369 1.609438 1.360977 0.760999939972666 0.5877867 1.35812299998165 3.888887006
"119" "Sudan" 3.614964 3.218876 1.740466 0.494500013806129 6.392252 -0.050130699936139 0.951105107
"120" "Suriname" 4.246111 0.6931472 1.373716 0.774000004173725 2.159484 -0.550046300385939 0.576923098
"121" "Swaziland" 3.109805 1.94591 1.686399 0.593999976013979 2.879198 -2.87919799949814 0.056179801
"122" "Switzerland" 4.275971 2.995732 0.4700036 0.94050002844171 4.863938 -1.42995099861374 0.239320649
"123" "Syrian Arab Rep" 3.905669 1.609438 1.704748 0.699999960757114 5.711089 -2.07350300176489 0.125744526
"124" "Tajikistan" 3.277145 3.044523 1.667707 0.65549998412273 4.683365 2.62450800028347 13.79778401
"125" "Tanzania Uni Rep" 3.0918 3.258096 1.832582 0.443000048259094 6.426488 -0.120213200491427 0.886731365
"126" "Thailand" 3.430217 4.304065 1.223776 0.763000036393331 6.970417 0.517876500211319 1.678459654
"127" "Timor-Leste" 3.199353 0.6931472 1.88707 0.514000006952864 2.915967 -2.91596700128517 0.054151641
"128" "Togo" 3.616757 1.94591 1.832582 0.513000017345232 4.594446 -0.810256600646248 0.44474393
"129" "Tonga" 3.152024 1.791759 1.526056 0.818999996010706 0.5877867 -0.58778670010212 0.555555536
"130" "Trinidad and Tobago" 2.490447 1.791759 0.9360933 0.79949995739315 3.109061 -1.3173020005664 0.267857006
"131" "Tunisia" 4.138893 1.609438 1.410987 0.733999963569835 5.118792 -0.944404699317372 0.388911021
"132" "Turkey" 4.143399 3.433987 1.321756 0.745999984168669 7.096721 -0.888131401154672 0.411423821
"133" "Uganda" 2.456736 3.091043 1.931521 0.468999958041319 6.131661 0.0586542998887644 1.060408594
"134" "Ukraine" 4.193184 2.890372 0.5306283 0.771999945155085 6.746647 -2.66911000325121 0.069313887
"135" "United Kingdom" 4.483379 3.7612 0.6151857 0.937500019816473 6.975663 -1.35526200043886 0.257879721
"136" "United States" 4.377223 5.948035 0.6931472 0.94099994297235 8.543069 0.0763198995376604 1.079307789
"137" "Uruguay" 4.506086 2.833213 0.9555114 0.836499965331474 4.055835 -1.41677699980694 0.242494318
"138" "Vanuatu" 3.082674 2.197225 1.638997 0.674000045879067 1.18377 2.55389999983039 12.85714901
"139" "Venezuela" 4.504982 2.995732 1.335001 0.781000022760255 6.072891 4.24571500004153 69.80565335
"140" "Viet Nam" 3.224195 4.59512 1.504077 0.702499984386401 7.248978 1.97368599995393 7.197156374
"141" "Yemen" 3.227505 3.091043 1.9947 0.473499984069568 5.808543 0.773482400063109 2.167300535
"142" "Zaire/Congo Dem Rep" 3.455265 2.944439 1.88707 0.401000020721903 6.846872 -1.31744299991171 0.267819241
"143" "Zambia" 3.554872 2.564949 1.871802 0.436500001616133 5.222156 -2.44956699667607 0.08633096
"144" "Zimbabwe" 3.503553 2.484907 1.704748 0.562999972324298 5.360353 -0.31049669942821 0.733082744
